Loadstar Sensors SensorVUE - Log File
Units for F184625692:,N
Units for Peak (F184625692):,N
Units for Low (F184625692):,N
Logging Interval:,0.01 sec
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),F184625692,Peak (F184625692),Low (F184625692),
2019-04-03 11:43:39.178,2.862,0.000,0.000,-0.002,,
2019-04-03 11:43:39.193,2.877,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.208,2.892,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.223,2.907,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.237,2.921,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.252,2.936,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.267,2.951,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.282,2.966,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.296,2.980,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.311,2.995,0.000,0.000,-0.002,,
2019-04-03 11:43:39.327,3.011,0.000,0.000,-0.002,,
2019-04-03 11:43:39.342,3.026,0.000,0.000,-0.002,,
2019-04-03 11:43:39.355,3.039,0.000,0.000,-0.002,,
2019-04-03 11:43:39.370,3.054,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.385,3.069,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.400,3.084,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.415,3.099,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.429,3.113,0.000,0.000,-0.002,,
2019-04-03 11:43:39.444,3.128,0.000,0.000,-0.002,,
2019-04-03 11:43:39.459,3.143,0.000,0.000,-0.002,,
2019-04-03 11:43:39.474,3.158,0.000,0.000,-0.002,,
2019-04-03 11:43:39.488,3.172,-0.002,0.000,-0.002,,
2019-04-03 11:43:39.503,3.187,-0.002,0.000,-0.002,,
2019-04-03 11:43:39.518,3.202,-0.002,0.000,-0.002,,
2019-04-03 11:43:39.533,3.217,-0.002,0.000,-0.002,,
2019-04-03 11:43:39.547,3.231,-0.002,0.000,-0.002,,
2019-04-03 11:43:39.562,3.246,-0.002,0.000,-0.002,,
2019-04-03 11:43:39.577,3.261,-0.002,0.000,-0.002,,
2019-04-03 11:43:39.607,3.291,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.621,3.305,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.636,3.320,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.651,3.335,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.666,3.350,0.000,0.000,-0.002,,
2019-04-03 11:43:39.680,3.364,0.000,0.000,-0.002,,
2019-04-03 11:43:39.695,3.379,0.000,0.000,-0.002,,
2019-04-03 11:43:39.710,3.394,0.000,0.000,-0.002,,
2019-04-03 11:43:39.725,3.409,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.740,3.424,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.754,3.438,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.769,3.453,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.784,3.468,0.000,0.000,-0.002,,
2019-04-03 11:43:39.799,3.483,0.000,0.000,-0.002,,
2019-04-03 11:43:39.813,3.497,0.000,0.000,-0.002,,
2019-04-03 11:43:39.828,3.512,0.000,0.000,-0.002,,
2019-04-03 11:43:39.843,3.527,0.000,0.000,-0.002,,
2019-04-03 11:43:39.858,3.542,0.000,0.000,-0.002,,
2019-04-03 11:43:39.872,3.556,0.000,0.000,-0.002,,
2019-04-03 11:43:39.887,3.571,0.000,0.000,-0.002,,
2019-04-03 11:43:39.902,3.586,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.917,3.601,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.932,3.616,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.946,3.630,-0.001,0.000,-0.002,,
2019-04-03 11:43:39.961,3.645,0.003,0.003,-0.002,,
2019-04-03 11:43:39.976,3.660,0.003,0.003,-0.002,,
2019-04-03 11:43:39.991,3.675,0.003,0.003,-0.002,,
2019-04-03 11:43:40.005,3.689,0.003,0.003,-0.002,,
2019-04-03 11:43:40.020,3.704,0.000,0.003,-0.002,,
2019-04-03 11:43:40.035,3.719,0.000,0.003,-0.002,,
2019-04-03 11:43:40.050,3.734,0.000,0.003,-0.002,,
2019-04-03 11:43:40.064,3.748,0.000,0.003,-0.002,,
2019-04-03 11:43:40.079,3.763,0.000,0.003,-0.002,,
2019-04-03 11:43:40.094,3.778,0.000,0.003,-0.002,,
2019-04-03 11:43:40.109,3.793,0.000,0.003,-0.002,,
2019-04-03 11:43:40.124,3.808,0.000,0.003,-0.002,,
2019-04-03 11:43:40.138,3.822,0.000,0.003,-0.002,,
2019-04-03 11:43:40.153,3.837,0.000,0.003,-0.002,,
2019-04-03 11:43:40.168,3.852,0.000,0.003,-0.002,,
2019-04-03 11:43:40.183,3.867,0.000,0.003,-0.002,,
2019-04-03 11:43:40.197,3.881,0.001,0.003,-0.002,,
2019-04-03 11:43:40.212,3.896,0.001,0.003,-0.002,,
2019-04-03 11:43:40.227,3.911,0.001,0.003,-0.002,,
2019-04-03 11:43:40.242,3.926,0.001,0.003,-0.002,,
2019-04-03 11:43:40.256,3.940,0.000,0.003,-0.002,,
2019-04-03 11:43:40.271,3.955,0.000,0.003,-0.002,,
2019-04-03 11:43:40.286,3.970,0.000,0.003,-0.002,,
2019-04-03 11:43:40.300,3.984,0.000,0.003,-0.002,,
2019-04-03 11:43:40.315,3.999,0.000,0.003,-0.002,,
2019-04-03 11:43:40.329,4.013,0.000,0.003,-0.002,,
2019-04-03 11:43:40.344,4.028,0.000,0.003,-0.002,,
2019-04-03 11:43:40.360,4.044,0.000,0.003,-0.002,,
2019-04-03 11:43:40.374,4.058,0.000,0.003,-0.002,,
2019-04-03 11:43:40.388,4.072,0.000,0.003,-0.002,,
2019-04-03 11:43:40.403,4.087,0.000,0.003,-0.002,,
2019-04-03 11:43:40.418,4.102,0.000,0.003,-0.002,,
2019-04-03 11:43:40.434,4.118,0.001,0.003,-0.002,,
2019-04-03 11:43:40.447,4.131,0.001,0.003,-0.002,,
2019-04-03 11:43:40.462,4.146,0.001,0.003,-0.002,,
2019-04-03 11:43:40.477,4.161,0.001,0.003,-0.002,,
2019-04-03 11:43:40.492,4.176,-0.002,0.003,-0.002,,
2019-04-03 11:43:40.507,4.191,-0.002,0.003,-0.002,,
2019-04-03 11:43:40.521,4.205,-0.002,0.003,-0.002,,
2019-04-03 11:43:40.536,4.220,-0.002,0.003,-0.002,,
2019-04-03 11:43:40.551,4.235,-0.001,0.003,-0.002,,
2019-04-03 11:43:40.566,4.250,-0.001,0.003,-0.002,,
2019-04-03 11:43:40.581,4.265,-0.001,0.003,-0.002,,
2019-04-03 11:43:40.610,4.294,-0.001,0.003,-0.002,,
2019-04-03 11:43:40.625,4.309,-0.001,0.003,-0.002,,
2019-04-03 11:43:40.640,4.324,-0.001,0.003,-0.002,,
2019-04-03 11:43:40.654,4.338,-0.001,0.003,-0.002,,
2019-04-03 11:43:40.669,4.353,0.000,0.003,-0.002,,
2019-04-03 11:43:40.684,4.368,0.000,0.003,-0.002,,
2019-04-03 11:43:40.699,4.383,0.000,0.003,-0.002,,
2019-04-03 11:43:40.713,4.397,0.000,0.003,-0.002,,
2019-04-03 11:43:40.728,4.412,0.012,0.012,-0.002,,
2019-04-03 11:43:40.743,4.427,0.012,0.012,-0.002,,
2019-04-03 11:43:40.758,4.442,0.012,0.012,-0.002,,
2019-04-03 11:43:40.773,4.457,0.012,0.012,-0.002,,
2019-04-03 11:43:40.787,4.471,0.040,0.040,-0.002,,
2019-04-03 11:43:40.802,4.486,0.040,0.040,-0.002,,
2019-04-03 11:43:40.817,4.501,0.040,0.040,-0.002,,
2019-04-03 11:43:40.832,4.516,0.040,0.040,-0.002,,
2019-04-03 11:43:40.846,4.530,0.060,0.060,-0.002,,
2019-04-03 11:43:40.861,4.545,0.060,0.060,-0.002,,
2019-04-03 11:43:40.876,4.560,0.060,0.060,-0.002,,
2019-04-03 11:43:40.892,4.576,0.060,0.060,-0.002,,
2019-04-03 11:43:40.905,4.589,0.099,0.099,-0.002,,
2019-04-03 11:43:40.920,4.604,0.099,0.099,-0.002,,
2019-04-03 11:43:40.935,4.619,0.099,0.099,-0.002,,
2019-04-03 11:43:40.950,4.634,0.099,0.099,-0.002,,
2019-04-03 11:43:40.964,4.648,0.121,0.121,-0.002,,
2019-04-03 11:43:40.979,4.663,0.121,0.121,-0.002,,
2019-04-03 11:43:40.994,4.678,0.121,0.121,-0.002,,
2019-04-03 11:43:41.009,4.693,0.121,0.121,-0.002,,
2019-04-03 11:43:41.024,4.708,0.122,0.122,-0.002,,
2019-04-03 11:43:41.038,4.722,0.122,0.122,-0.002,,
2019-04-03 11:43:41.053,4.737,0.122,0.122,-0.002,,
2019-04-03 11:43:41.068,4.752,0.122,0.122,-0.002,,
2019-04-03 11:43:41.083,4.767,0.177,0.177,-0.002,,
2019-04-03 11:43:41.112,4.796,0.177,0.177,-0.002,,
2019-04-03 11:43:41.127,4.811,0.177,0.177,-0.002,,
2019-04-03 11:43:41.142,4.826,0.262,0.262,-0.002,,
2019-04-03 11:43:41.156,4.840,0.262,0.262,-0.002,,
2019-04-03 11:43:41.171,4.855,0.262,0.262,-0.002,,
2019-04-03 11:43:41.186,4.870,0.262,0.262,-0.002,,
2019-04-03 11:43:41.201,4.885,0.367,0.367,-0.002,,
